timestamps,TP9,AF7,AF8,TP10,Right AUX
1763445348.609,7.812,-23.438,-5.859,-16.602,0.000
1763445348.613,-3.906,-19.043,-17.578,-5.371,0.000
1763445348.617,17.578,-14.648,0.000,-0.977,0.000
1763445348.621,19.043,-14.160,0.000,-12.695,0.000
1763445348.625,-16.113,-18.066,0.000,-28.320,0.000
1763445348.628,-7.324,-22.949,0.000,-17.090,0.000
1763445348.632,-12.207,-18.555,0.000,-3.906,0.000
1763445348.636,-18.066,-10.254,0.000,7.812,0.000
1763445348.640,19.043,-0.977,0.000,2.441,0.000
1763445348.644,24.414,-10.254,0.000,-19.043,0.000
1763445348.648,6.348,-20.996,0.000,-15.625,0.000
1763445348.652,-39.551,-18.066,0.000,-15.625,0.000
1763445348.656,-48.828,-16.602,0.000,-18.066,0.000
1763445348.660,-0.977,-13.184,0.000,-14.648,0.000
1763445348.664,20.996,-9.766,-1.465,-6.348,0.000
1763445348.667,-12.207,-15.625,15.137,0.488,0.000
1763445348.671,-4.883,-11.719,13.672,-14.160,0.000
1763445348.675,30.762,-3.906,1.465,-28.809,0.000
1763445348.679,18.066,-4.883,-2.441,-29.785,0.000
1763445348.683,4.883,-6.836,-3.906,-7.324,0.000
1763445348.687,-27.832,-9.277,-7.324,-8.789,0.000
1763445348.691,-30.762,-9.277,-6.348,-28.320,0.000
1763445348.695,-16.113,-6.348,-1.953,-9.277,0.000
1763445348.699,-21.973,-6.836,-10.254,-19.043,0.000
1763445348.703,11.230,-6.836,-20.020,-26.855,0.000
1763445348.707,3.418,-7.324,-15.625,-0.488,0.000
1763445348.711,-44.434,-17.090,-13.672,-3.418,0.000
1763445348.714,-40.039,-15.137,-18.066,-21.973,0.000
1763445348.718,2.930,-4.395,-16.113,-13.184,0.000
1763445348.722,29.297,-14.648,-8.789,-16.113,0.000
1763445348.726,26.855,-23.438,-4.395,-25.879,0.000
1763445348.730,33.203,-12.695,-6.348,-20.020,0.000
1763445348.734,12.695,-10.254,-6.348,-14.648,0.000
1763445348.738,-50.781,-14.160,-17.578,-13.184,0.000
1763445348.742,-45.898,-19.531,-28.320,-27.832,0.000
1763445348.746,-24.414,-22.949,-20.020,-30.273,0.000
1763445348.750,-13.184,-11.230,-17.090,-12.695,0.000
1763445348.753,38.574,-9.766,-23.926,-10.254,0.000
1763445348.757,-1.465,-10.742,-20.020,-16.602,0.000
1763445348.761,-63.477,-4.395,-14.160,-8.301,0.000
1763445348.765,-17.578,-17.090,-22.949,-11.230,0.000
1763445348.769,37.598,-23.926,-25.391,-3.418,0.000
1763445348.773,34.180,-12.695,-15.137,5.371,0.000
1763445348.777,-30.273,-19.531,-10.742,-10.254,0.000
1763445348.781,-45.410,-21.484,-6.836,-40.527,0.000
1763445348.785,-8.301,-21.484,-7.812,-36.621,0.000
1763445348.789,10.742,-24.414,-11.719,-15.625,0.000
1763445348.793,-0.977,-21.973,-6.348,-11.230,0.000
1763445348.796,-25.391,-15.137,0.000,-5.859,0.000
1763445348.800,-36.621,-10.742,-7.324,-2.930,0.000
1763445348.804,-13.672,-8.789,-14.648,0.000,0.000
1763445348.808,26.367,-8.789,-15.137,0.000,0.000
1763445348.812,17.090,-1.465,-13.184,0.000,0.000
1763445348.816,-35.156,0.000,-17.090,0.000,0.000
1763445348.820,-63.965,-15.625,-22.461,0.000,0.000
1763445348.824,-40.527,-18.555,-8.789,0.000,0.000
1763445348.828,0.977,-10.254,-8.301,0.000,0.000
1763445348.832,25.879,-8.301,-13.184,0.000,0.000
1763445348.835,-2.930,-17.090,-6.836,0.000,0.000
1763445348.839,-34.668,-6.348,-7.324,0.000,0.000
1763445348.843,-17.090,2.930,-17.578,0.000,0.000
1763445348.847,-3.418,-3.906,-21.484,0.000,0.000
1763445348.851,33.691,-6.348,-1.465,0.488,0.000
1763445348.855,57.617,-6.348,9.277,-5.371,0.000
1763445348.859,17.578,-9.277,1.953,-12.207,0.000
1763445348.863,-18.555,-8.301,1.953,-17.578,0.000
1763445348.867,-15.625,-6.348,0.000,-12.207,0.000
1763445348.871,-48.340,-16.113,-2.930,-3.418,0.000
1763445348.875,-51.270,-14.648,-13.672,-27.344,0.000
1763445348.878,9.277,-14.160,-14.160,-20.020,0.000
1763445348.882,-23.926,-20.020,-9.766,-2.930,0.000
1763445348.886,-66.406,-12.695,-21.973,-26.855,0.000
1763445348.890,-1.465,-5.859,-18.066,-20.020,0.000
1763445348.894,42.969,-12.207,-6.348,-8.789,0.000
1763445348.898,-11.230,-14.648,0.000,-17.090,0.000
1763445348.902,-58.105,-13.672,0.000,0.488,0.000
1763445348.906,-38.574,-16.113,0.000,7.812,0.000
1763445348.910,14.648,-13.672,0.000,-1.465,0.000
1763445348.914,60.547,-8.301,0.000,-10.254,0.000
1763445348.918,32.715,-8.789,0.000,-23.438,0.000
1763445348.921,-13.672,-18.555,0.000,-13.184,0.000
1763445348.925,-25.391,-21.484,0.000,4.395,0.000
