timestamps,TP9,AF7,AF8,TP10,Right AUX
1761113996.182,-18.066,-2.930,-10.254,-27.832,0.000
1761113996.186,-36.133,-1.465,-14.160,-72.754,0.000
1761113996.190,-2.930,0.488,-19.043,-46.875,0.000
1761113996.194,25.879,2.930,-18.066,-9.277,0.000
1761113996.198,-1.465,-0.977,-14.160,-41.016,0.000
1761113996.202,-40.527,-7.324,-18.555,-90.332,0.000
1761113996.206,-35.645,-7.324,-20.020,-84.961,0.000
1761113996.210,-34.668,-5.859,-16.602,-65.918,0.000
1761113996.214,3.906,-4.395,-17.090,-37.598,0.000
1761113996.218,17.578,-3.418,-20.996,-22.461,0.000
1761113996.221,-2.930,-9.277,-21.484,-27.344,0.000
1761113996.225,-35.645,-7.812,-15.625,-54.688,0.000
1761113996.229,-49.316,-2.930,-16.602,-53.711,0.000
1761113996.233,-7.324,-4.883,-18.066,-43.945,0.000
1761113996.237,25.391,-7.812,-15.625,-17.090,0.000
1761113996.241,20.020,-8.789,-15.625,-5.859,0.000
1761113996.245,-24.902,-9.277,-12.695,-74.219,0.000
1761113996.249,-27.344,-10.254,-10.254,-91.797,0.000
1761113996.253,25.879,-9.766,-11.230,-38.086,0.000
1761113996.257,39.062,-5.859,-12.695,-20.508,0.000
1761113996.261,19.531,-3.906,-12.207,-38.574,0.000
1761113996.264,-6.836,-3.906,-10.254,-73.730,0.000
1761113996.268,0.000,-2.441,-14.160,-83.496,0.000
1761113996.272,0.000,-2.930,-15.625,-59.082,0.000
1761113996.276,0.000,-1.953,-16.113,-29.785,0.000
1761113996.280,0.000,-4.883,-18.555,-19.531,0.000
1761113996.284,0.000,-5.371,-16.113,-7.324,0.000
1761113996.288,0.000,0.488,-18.555,-28.809,0.000
1761113996.292,0.000,-2.441,-20.508,-58.594,0.000
1761113996.296,0.000,-5.371,-16.602,-8.301,0.000
1761113996.300,0.000,-0.977,-14.648,-0.488,0.000
1761113996.303,0.000,1.465,-21.973,-41.016,0.000
1761113996.307,0.000,4.883,-23.438,-18.066,0.000
1761113996.311,0.000,1.465,-18.555,-0.977,0.000
1761113996.315,-19.531,-1.953,-18.066,0.000,0.000
1761113996.319,14.648,2.930,-21.484,0.000,0.000
1761113996.323,28.809,-2.441,-19.531,0.000,0.000
1761113996.327,13.672,-5.859,-14.648,0.000,0.000
1761113996.331,12.207,-5.371,-13.672,0.000,0.000
1761113996.335,-12.207,-3.906,-15.137,0.000,0.000
1761113996.339,-12.207,-2.441,-12.207,0.000,0.000
1761113996.343,32.715,-7.324,-13.184,0.000,0.000
1761113996.346,28.320,-8.789,-19.531,0.000,0.000
1761113996.350,-12.695,-4.395,-19.531,0.000,0.000
1761113996.354,-0.977,-1.953,-14.648,0.000,0.000
1761113996.358,-0.977,-2.930,-11.230,0.000,0.000
1761113996.362,12.207,-7.812,-10.742,19.531,0.000
1761113996.366,16.602,-11.230,-9.277,-3.906,0.000
1761113996.370,-16.602,-13.672,-7.812,-1.465,0.000
1761113996.374,-53.223,-7.324,-8.789,33.691,0.000
1761113996.378,-37.598,-3.418,-10.742,20.508,0.000
1761113996.382,20.996,-6.348,-11.719,1.465,0.000
1761113996.385,20.020,-5.859,-16.113,-19.531,0.000
1761113996.389,-34.668,-8.301,-24.414,-61.523,0.000
1761113996.393,-59.570,-4.883,-19.531,-28.809,0.000
1761113996.397,-19.531,-7.324,-13.672,15.625,0.000
1761113996.401,20.996,-18.555,-18.066,-35.645,0.000
1761113996.405,18.555,-19.043,-20.996,-62.988,0.000
1761113996.409,-24.902,-11.719,0.000,-44.922,0.000
1761113996.413,-9.766,-11.719,0.000,-11.230,0.000
1761113996.417,24.414,-14.648,0.000,24.902,0.000
1761113996.421,-34.668,-11.230,0.000,-36.621,0.000
1761113996.425,-64.941,-7.324,0.000,-65.918,0.000
1761113996.428,-33.203,-4.883,0.000,-21.484,0.000
1761113996.432,-19.043,-11.230,0.000,-10.742,0.000
1761113996.436,-4.395,-14.160,0.000,-3.906,0.000
1761113996.440,2.441,-8.301,0.000,12.695,0.000
1761113996.444,-35.645,-10.254,0.000,-39.551,0.000
1761113996.448,-42.969,-6.836,0.000,-52.734,0.000
1761113996.452,-35.645,-4.395,0.000,-12.695,0.000
1761113996.456,6.836,-8.301,-14.648,8.789,0.000
1761113996.460,-8.789,-11.230,-19.531,-2.930,0.000
1761113996.464,-68.848,-6.836,-19.531,-60.059,0.000
1761113996.468,-61.523,-8.301,-16.602,-87.891,0.000
1761113996.471,-11.719,-13.184,-16.602,-47.852,0.000
1761113996.475,33.203,-10.742,-15.137,-4.883,0.000
1761113996.479,-11.719,-14.160,-15.137,-78.125,0.000
1761113996.483,-40.039,-10.254,-9.277,-125.977,0.000
1761113996.487,-17.578,-3.418,-8.301,-94.238,0.000
1761113996.491,-3.906,-8.301,-10.254,-84.961,0.000
1761113996.495,30.273,-13.672,-10.254,-67.871,0.000
1761113996.499,31.738,-15.625,-12.207,-102.539,0.000
1761113996.503,0.000,-14.648,0.000,-138.672,0.000
1761113996.507,0.000,-18.555,0.000,-126.465,0.000
1761113996.510,0.000,-16.113,0.000,-113.281,0.000
1761113996.514,0.000,-10.254,0.000,-94.238,0.000
